"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 10:59:36 GMT 2025","Mon May 12 10:59:36 GMT 2025","224","","ui.selenidePOMTests.HomePageTests","","ui.selenidePOMTests.HomePageTests","openHomePageTest","openHomePageTest()",""
"broken","Mon May 12 10:59:37 GMT 2025","Mon May 12 10:59:37 GMT 2025","225","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","submitFormTest","submitFormTest()",""
"broken","Mon May 12 10:59:34 GMT 2025","Mon May 12 10:59:35 GMT 2025","227","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openForm","openForm()",""
"broken","Mon May 12 10:59:36 GMT 2025","Mon May 12 10:59:36 GMT 2025","225","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithUpdatedTimeoutWaitTest","loadingImagesWithUpdatedTimeoutWaitTest()",""
"broken","Mon May 12 10:59:36 GMT 2025","Mon May 12 10:59:36 GMT 2025","227","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","openNavigationTest","openNavigationTest()",""
"passed","Mon May 12 10:59:12 GMT 2025","Mon May 12 10:59:21 GMT 2025","8606","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"passed","Mon May 12 10:59:11 GMT 2025","Mon May 12 10:59:12 GMT 2025","381","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openForm","openForm()",""
"passed","Mon May 12 10:59:12 GMT 2025","Mon May 12 10:59:12 GMT 2025","373","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 10:59:21 GMT 2025","Mon May 12 10:59:25 GMT 2025","4193","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 10:59:37 GMT 2025","Mon May 12 10:59:37 GMT 2025","224","","ui.selenidePOMTests.WebFormPageTests","","ui.selenidePOMTests.WebFormPageTests","openWebFormTest","openWebFormTest()",""
"broken","Mon May 12 10:59:34 GMT 2025","Mon May 12 10:59:34 GMT 2025","291","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","pageObjectTest","pageObjectTest()",""
"broken","Mon May 12 10:59:31 GMT 2025","Mon May 12 10:59:34 GMT 2025","2447","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openSiteTest","openSiteTest()",""
"passed","Mon May 12 10:59:03 GMT 2025","Mon May 12 10:59:11 GMT 2025","8631","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"passed","Mon May 12 10:59:25 GMT 2025","Mon May 12 10:59:31 GMT 2025","6227","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","loadingImagesWithCustomTimeoutWaitTest","loadingImagesWithCustomTimeoutWaitTest()",""
"broken","Mon May 12 10:59:35 GMT 2025","Mon May 12 10:59:35 GMT 2025","223","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","openHomepageTest","openHomepageTest()",""
"broken","Mon May 12 10:59:35 GMT 2025","Mon May 12 10:59:35 GMT 2025","224","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","successfulLoginTest","successfulLoginTest()",""
"passed","Mon May 12 10:59:01 GMT 2025","Mon May 12 10:59:02 GMT 2025","591","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","openSiteTest","openSiteTest()",""
"broken","Mon May 12 10:59:34 GMT 2025","Mon May 12 10:59:34 GMT 2025","233","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesDefaultWaitTest","loadingImagesDefaultWaitTest()",""
"broken","Mon May 12 10:59:35 GMT 2025","Mon May 12 10:59:35 GMT 2025","227","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","loadingImagesWithExplicitTimeoutWaitTest","loadingImagesWithExplicitTimeoutWaitTest()",""
"broken","Mon May 12 10:59:36 GMT 2025","Mon May 12 10:59:37 GMT 2025","282","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testNextButtonFunctionality","testNextButtonFunctionality()",""
"broken","Mon May 12 10:59:35 GMT 2025","Mon May 12 10:59:36 GMT 2025","230","","ui.lessonCode.SelenideTests","","ui.lessonCode.SelenideTests","infiniteScrollTestWithAttach","Check screenshot attachment",""
"broken","Mon May 12 10:59:37 GMT 2025","Mon May 12 10:59:37 GMT 2025","228","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","CheckDefaultBehaviour","CheckDefaultBehaviour()",""
"broken","Mon May 12 10:59:37 GMT 2025","Mon May 12 10:59:37 GMT 2025","281","","ui.selenidePOMTests.NavigationPageTests","","ui.selenidePOMTests.NavigationPageTests","testForwardBackwardNavigation","testForwardBackwardNavigation()",""
"passed","Mon May 12 10:59:02 GMT 2025","Mon May 12 10:59:03 GMT 2025","649","","ui.lessonCode.PlaywrightTests","","ui.lessonCode.PlaywrightTests","pageObjectTest","pageObjectTest()",""
